,Company Name,Experience Required,Job Description,Job Description Page,Job Title,Keyskills,Location,Salary
10,Mind works Global-Startup,3-5 yrs,At least 3-4 years experience with standard clickstream analysis tools;At least 2 years experience in ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,"SEM, SEO, Excel, SQL Queries, SCOPE, Correlation, Data Analysis...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
11,LIQUIDHUB ANALYTICS PRIVATE LIMITED,0-0 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,"Communication Skills, Customer Centric, English Language, Data Analysis...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
12,I.T.S Engineering College(Durga Charitable Trust),2-4 yrs,Job Description:  	Working experience as a data analyst 	Ability to understand team/business ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,"tableau, data analysis, sql server, dashboards, database, strong analytical...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    2,00,000 - 5,00,000 P.A.  "
13,Silver Light Technologies,0-4 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,"Excel, SQL, SAS, SPSS, VBA, MS Access, Powerpoint, Data Mining...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    5,50,000 - 15,50,000 P.A. Best in Industries  "
14,MattsenKumar Services Pvt. Ltd,2-4 yrs,Purpose is to understand the business requirement and apply the logic to;2) Hands on experience on ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Hiring for Data Analyst,"Macros, VBA, Advanced Excel, SQL, Data Analysis, Reporting","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    2,00,000 - 3,25,000 P.A. Travel Reimbursement + Medical...  "
15,Nastech Consulting,3-7 yrs,"- Should have an relevant experience of 3-5 years in the field of analytics / data science, designing ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Senior Business Analyst - Data Analytics,"Data Analysis, Data Visualization, Data Analytics, Data Mining...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
16,HuQuo Consulting Pvt. Ltd.,2-5 yrs,"Strong candidates should have prior experience in software product development, team management, and ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Senior Analyst - Operation - Algorithm & Investment Management - Data,"Networking, Software Product Development, Metrics, Capacity Planning...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
17,Grabit HR,7-10 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,MIS and Data Analyst Trainer (part Time),"Macros, VBA, MIS, Data Analysis, Dashboards, MS Access","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    2,50,000 - 3,50,000 P.A.  "
18,Excellent Job Solutions Private Limited,4-9 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,MIS / Data Analyst,"Data Analysis, Advanced Excel, advanced access, Advanced Analytics, HLOOKUP...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    3,75,000 - 8,50,000 P.A.  "
19,HCL Technologies,1-3 yrs,Should be able to work with large amounts of data and analyse it to find relevant insights;Communication ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,"Powerpoint, Word, Written Communication, Excel, MS Office...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
20,Landis+Gyr Limited,3-8 yrs,with minimum 4 years of professional Experience;Must have experience working with Microsoft BI suite ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst - R&D,"SQL Server, SSRS, SSIS, Power Bi, T - SQL, TFS, Sharepoint, Views...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
21,Extramarks  Education India Pvt Ltd,2-4 yrs,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,"VLOOKUP, Excel, Conditional Formatting, HLOOKUP, Data Analysis...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    6,00,000 - 8,00,000 P.A.  "
22,Vaco Binary Semantics LLP,0-2 yrs,Relevant experience of atleast 1 yr;Should be able to understand data points and create reports as and ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Urgent Hiring || Data Analyst || Delhi,"data analysis, data analyst, excel, data mining, data extraction...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    2,00,000 - 4,00,000 P.A.  "
23,WNS GLOBAL SERVICES PRIVATE LIMITED,2-4 yrs,Candidate should be good in communication and proactive in planning assigned tasks;The successful ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,WNS Hiring for Data Analyst role,"data analysis, data extraction, advanced excel, data analytics, vba, scope,...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    50,000 - 3,00,000 P.A.  "
24,,,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",
25,,,,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst,,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",
26,M & C Saatchi Mobile LLP,2-3 yrs,Minimum 2 years of experience in an analytical / reporting role - ideally within a digital marketing ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,"Associate, Data Analyst","Data Analysis, data management, data optimization, customer insight...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
27,Etail Consultants Private Limited,2-5 yrs,"Information will be used to project, monitor and strategize sales efforts, and to maintain and support ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Data Analyst- Gurgaon,"Advanced Excel, Data Analysis, Data Analytics, Data Management, Statistical...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    3,00,000 - 5,00,000 P.A.  "
28,Vidooly - Startup,0-3 yrs,Roles and responsibilities:     Manage and Analyze data using Excel.   Ability ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Marketing Data Analyst/mis (walk-in Drive),"Data Analysis, Excel, Report Generation, Use Cases, Google Analytics...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
29,CWT India Pvt Ltd,1-4 yrs,Flexible attitude to work and willingness to work outside core hours on occasion to meet deadlines;As a ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,"Big Data Analyst, Gurgaon","SQL, Excel, Data Visualization, Data Extraction, Marketing Analytics...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
30,Muthoot Finance Ltd,2-5 yrs, Walk-in drive for Marketing Data Analyst (Must have Advance Excel working experience ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Business Analyst/data Scientist/data Analyst,"mis reporting, data analysis, mis preparation, data processing, performance...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    2,00,000 - 3,50,000 P.A. Business Incentives + Bonus  "
31,ARIMON DIGILYTICS PRIVATE LIMITED,3-8 yrs,"Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming ...",https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Requirement - Sr Data Analyst fir Delhi,"big data, Hadoop, spark, Big Data Developer, Database","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
32,silver people,2-6 yrs,- Digital analytics for understanding customer behaviour and enhancing experience;Work experience from ...,https://www.naukri.com/job-listings-Junior-Data-Analyst-AXIS-SOLUTION-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-3-to-7-years-151218000986?src=jobsearchDesk&sid=1544940801422&xp=1&px=1,Junior Data Analyst,"Natural Language Processing, Machine Learning, Computer Vision, Python, R...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",  Not disclosed 
